,nibrs_code,start_time,start_date,crimename2,crimename3,latitude,longitude,place,weight
0,23H,20:12:00.000,2023-02-06,All other Larceny,LARCENY (DESCRIBE OFFENSE),39.10635,-77.0557,Residence - Apartment/Condo,2
1,90Z,19:00:00.000,2023-02-06,All Other Offenses,POLICE INFORMATION,39.15494,-77.0673,Retail - Other,1
2,290,17:49:00.000,2023-02-06,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY (DESCRIBE OFFENSE),39.1301,-77.2036,Parking Lot - Residential,2
3,23C,17:45:00.000,2023-02-06,Shoplifting,LARCENY - SHOPLIFTING,38.99865,-77.0011,Grocery/Supermarket,2
4,90Z,16:34:00.000,2023-02-06,All Other Offenses,MENTAL ILLNESS - EMERGENCY PETITION,0.0,0.0,Residence - Single Family,1
5,90J,16:17:00.000,2023-02-06,Trespass of Real Property,TRESPASSING,39.03984,-76.9907,Retail - Department/Discount Store,1
6,240,12:30:00.000,2023-02-06,Motor Vehicle Theft,AUTO THEFT - VEHICLE THEFT,38.99546,-77.0613,Street - Residential,2
7,23C,12:12:00.000,2023-02-06,Shoplifting,LARCENY - SHOPLIFTING,39.03755,-77.0519,Retail - Department/Discount Store,2
8,90Z,12:01:00.000,2023-02-06,All Other Offenses,OBSTRUCT POLICE - MAKING FALSE REPORT,0.0,0.0,Street - Residential,1
9,23C,11:27:00.000,2023-02-06,Shoplifting,LARCENY - SHOPLIFTING,39.03755,-77.0519,Retail - Mall,2
10,290,10:44:00.000,2023-02-06,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PRIVATE,39.17305,-77.2039,Parking Lot - Commercial,2
11,13B,10:44:00.000,2023-02-06,Simple Assault,ASSAULT - 2ND DEGREE,39.17305,-77.2039,Parking Lot - Commercial,2
12,90Z,10:30:00.000,2023-02-06,All Other Offenses,POLICE INFORMATION,39.08143,-77.0278,Residence - Single Family,1
13,90Z,10:09:00.000,2023-02-06,All Other Offenses,POLICE INFORMATION,39.0831,-77.0809,Parking Lot - Commercial,1
14,26F,10:00:00.000,2023-02-06,Identity Theft,IDENTITY THEFT,39.16405,-77.0565,Other/Unknown,2
15,220,07:50:00.000,2023-02-06,Burglary/Breaking and Entering,BURGLARY - FORCED ENTRY-RESIDENTIAL,0.0,0.0,Residence -Townhouse/Duplex,2
16,290,07:50:00.000,2023-02-06,Destruction/Damage/Vandalism of Property,DAMAGE PROPERTY - PRIVATE,0.0,0.0,Residence -Townhouse/Duplex,2
