,id,race,gender,age,ethnicity,district,division,bureau
0,1,Black/African American,Male,35,NON-HISPANIC,4,4D,PSB
1,2,White,Female,28,NON-HISPANIC,4,4D,PSB
2,3,White,Male,65,NON-HISPANIC,4,4D,PSB
3,4,White,Male,37,HISPANIC,4,4D,PSB
4,5,White,Male,55,NON-HISPANIC,4,4D,PSB
5,6,Black/African American,Male,52,NON-HISPANIC,4,4D,PSB
6,7,Black/African American,Male,61,NON-HISPANIC,4,4D,PSB
7,8,Black/African American,Male,41,HISPANIC,4,4D,PSB
8,9,Black/African American,Male,51,NON-HISPANIC,5,TOD,FSB
9,10,White,Male,55,NON-HISPANIC,4,4D,PSB
10,11,White,Male,54,NON-HISPANIC,3,3D,PSB
11,12,Black/African American,Male,64,HISPANIC,4,4D,PSB
12,13,White,Male,60,NON-HISPANIC,3,3D,PSB
13,14,White,Female,49,NON-HISPANIC,6,6D,PSB
14,15,Black/African American,Male,53,NON-HISPANIC,5,5D,PSB
15,16,White,Male,51,NON-HISPANIC,4,4D,PSB
16,17,White,Male,40,NON-HISPANIC,4,4D,PSB
17,18,White,Male,42,NON-HISPANIC,4,4D,PSB
18,19,Black/African American,Female,51,NON-HISPANIC,4,4D,PSB
19,20,White,Male,62,NON-HISPANIC,4,4D,PSB
20,21,White,Male,69,NON-HISPANIC,4,4D,PSB
21,22,Black/African American,Male,63,NON-HISPANIC,4,4D,PSB
22,23,White,Male,47,NON-HISPANIC,4,4D,PSB
23,24,Black/African American,Male,56,NON-HISPANIC,5,5D,PSB
24,25,White,Male,43,HISPANIC,3,3D,PSB
25,26,White,Male,59,NON-HISPANIC,4,4D,PSB
26,27,Black/African American,Male,45,NON-HISPANIC,4,4D,PSB
27,28,White,Male,44,HISPANIC,6,6D,PSB
28,29,White,Male,42,NON-HISPANIC,4,4D,PSB
29,30,White,Male,41,HISPANIC,4,4D,PSB
30,31,White,Male,41,HISPANIC,4,4D,PSB
31,32,White,Female,47,NON-HISPANIC,3,3D,PSB
32,33,White,Male,53,HISPANIC,4,4D,PSB
33,34,White,Male,52,NON-HISPANIC,3,3D,PSB
34,35,White,Female,38,NON-HISPANIC,2,TOD,FSB
35,36,Black/African American,Male,36,NON-HISPANIC,5,5D,PSB
36,37,Black/African American,Male,37,NON-HISPANIC,5,5D,PSB
37,38,White,Male,55,NON-HISPANIC,4,4D,PSB
38,39,White,Male,55,NON-HISPANIC,4,4D,PSB
39,40,White,Male,33,HISPANIC,3,3D,PSB
40,41,Black/African American,Male,33,NON-HISPANIC,5,5D,PSB
41,42,White,Male,35,HISPANIC,6,TOD,FSB
42,43,White,Male,42,HISPANIC,4,4D,PSB
43,44,White,Male,40,HISPANIC,4,4D,PSB
44,45,White,Male,47,HISPANIC,4,4D,PSB
45,46,White,Male,45,NON-HISPANIC,2,TOD,FSB
46,47,White,Male,43,HISPANIC,4,4D,PSB
47,48,White,Male,43,HISPANIC,4,4D,PSB
48,49,White,Male,37,HISPANIC,6,6D,PSB
49,50,Black/African American,Male,28,NON-HISPANIC,4,4D,PSB
50,51,Black/African American,Male,28,NON-HISPANIC,4,4D,PSB
51,52,White,Male,31,NON-HISPANIC,2,TOD,FSB
52,53,Black/African American,Male,27,NON-HISPANIC,4,4D,PSB
53,54,Black/African American,Male,28,NON-HISPANIC,4,4D,PSB
54,55,Black/African American,Male,23,NON-HISPANIC,5,5D,PSB
55,56,Black/African American,Male,43,NON-HISPANIC,4,4D,PSB
56,57,White,Male,37,HISPANIC,4,4D,PSB
57,58,Black/African American,Male,32,NON-HISPANIC,4,4D,PSB
58,59,White,Male,39,HISPANIC,4,4D,PSB
59,60,Asian,Male,60,NON-HISPANIC,6,TOD,FSB
60,61,White,Male,30,HISPANIC,4,4D,PSB
61,62,White,Female,51,NON-HISPANIC,6,TOD,FSB
62,63,White,Male,52,HISPANIC,1,RCPD,
63,64,White,Male,17,HISPANIC,4,4D,PSB
64,65,White,Male,52,HISPANIC,4,4D,PSB
65,66,White,Male,52,HISPANIC,4,4D,PSB
66,67,White,Male,52,HISPANIC,4,4D,PSB
67,68,Asian,Male,30,NON-HISPANIC,5,5D,PSB
68,69,White,Male,37,HISPANIC,1,RCPD,
69,70,White,Male,37,HISPANIC,1,RCPD,
70,71,White,Male,49,HISPANIC,4,4D,PSB
71,72,White,Male,53,NON-HISPANIC,3,3D,PSB
72,73,White,Male,31,HISPANIC,5,5D,PSB
73,74,Black/African American,Male,37,NON-HISPANIC,4,4D,PSB
74,75,Black/African American,Male,32,NON-HISPANIC,4,4D,PSB
75,76,White,Male,36,HISPANIC,1,RCPD,
76,77,White,Male,36,HISPANIC,1,RCPD,
77,78,White,Male,37,HISPANIC,1,RCPD,
78,79,White,Male,56,NON-HISPANIC,4,4D,PSB
79,80,White,Male,49,NON-HISPANIC,4,4D,PSB
