,date_assigned,zip_code,action,geolocation,city,service_request_status,condition,latitude,location_description,service_request_closed_time,disposition,case_number,service_request_created_date,street_address,longitude,violation_id,corrected,code_reference,item,inspection_date,date_closed,service_request_number,unit_number,date_filed
0,2023-03-01T00:00:00.000,20877,Repair/Replace,"{'latitude': '0.0', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '0.0'}",GAITHERSBURG,Closed,General Condition,0,Bathroom 1,2023-03-09T00:00:00.000,Violations Corrected,177942,2023-03-06T00:00:00.000,17105 KING JAMES WAY,0,610902,2023-03-09T00:00:00.000,26-9(a)(1),Walls/ Ceiling - Interior,2023-03-08T00:00:00.000,2023-03-09T00:00:00.000,1519958260,Apt 102,2023-03-01T00:00:00.000
1,2023-03-01T00:00:00.000,20877,Repair/Replace,"{'latitude': '0.0', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '0.0'}",GAITHERSBURG,Closed,General Condition,0,Bathroom 1,2023-03-09T00:00:00.000,Violations Corrected,177942,2023-02-28T00:00:00.000,17105 KING JAMES WAY,0,610902,2023-03-09T00:00:00.000,26-9(a)(1),Walls/ Ceiling - Interior,2023-03-08T00:00:00.000,2023-03-09T00:00:00.000,1519566521,Apt 102,2023-03-01T00:00:00.000
2,2023-02-23T00:00:00.000,20852,Repair/Replace,"{'latitude': '0.0', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '0.0'}",ROCKVILLE,Closed,General Condition,0,Entire Unit,2023-02-27T00:00:00.000,Violations Corrected,177868,2023-02-23T00:00:00.000,11870 GRAND PARK AVE,0,609483,2023-02-27T00:00:00.000,26-9(a)(1),Walls/ Ceiling - Interior,2023-02-23T00:00:00.000,2023-02-27T00:00:00.000,1519067662,,2023-02-23T00:00:00.000
3,2023-02-23T00:00:00.000,20852,Do not deface or remove,"{'latitude': '0.0', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '0.0'}",ROCKVILLE,Closed,Placard,0,Entire Unit,2023-02-27T00:00:00.000,Violations Corrected,177868,2023-02-23T00:00:00.000,11870 GRAND PARK AVE,0,609482,2023-02-27T00:00:00.000,26-13(d),Condemned Structure,2023-02-23T00:00:00.000,2023-02-27T00:00:00.000,1519067662,,2023-02-23T00:00:00.000
4,2023-02-23T00:00:00.000,20852,Do not deface or remove,"{'latitude': '0.0', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '0.0'}",ROCKVILLE,Closed,Placard,0,Entire Unit,2023-02-27T00:00:00.000,Violations Corrected,177868,2023-02-23T00:00:00.000,11870 GRAND PARK AVE,0,609482,2023-02-27T00:00:00.000,26-13(d),Condemned Structure,2023-02-23T00:00:00.000,2023-02-27T00:00:00.000,1519079048,,2023-02-23T00:00:00.000
5,2023-02-23T00:00:00.000,20852,Repair/Replace,"{'latitude': '0.0', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '0.0'}",ROCKVILLE,Closed,General Condition,0,Entire Unit,2023-02-27T00:00:00.000,Violations Corrected,177868,2023-02-23T00:00:00.000,11870 GRAND PARK AVE,0,609483,2023-02-27T00:00:00.000,26-9(a)(1),Walls/ Ceiling - Interior,2023-02-23T00:00:00.000,2023-02-27T00:00:00.000,1519079048,,2023-02-23T00:00:00.000
6,2023-02-23T00:00:00.000,20852,Do not deface or remove,"{'latitude': '0.0', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '0.0'}",ROCKVILLE,Closed,Placard,0,Entire Unit,2023-02-27T00:00:00.000,Violations Corrected,177880,2023-02-24T00:00:00.000,11870 GRAND PARK AVE,0,609484,2023-02-27T00:00:00.000,26-13(d),Condemned Structure,2023-02-23T00:00:00.000,2023-02-27T00:00:00.000,1519208466,,2023-02-23T00:00:00.000
7,2023-02-23T00:00:00.000,20852,Repair/Replace,"{'latitude': '0.0', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '0.0'}",ROCKVILLE,Closed,General Condition,0,Entire Unit,2023-02-27T00:00:00.000,Violations Corrected,177880,2023-02-24T00:00:00.000,11870 GRAND PARK AVE,0,609485,2023-02-27T00:00:00.000,26-9(a)(1),Walls/ Ceiling - Interior,2023-02-23T00:00:00.000,2023-02-27T00:00:00.000,1519208466,,2023-02-23T00:00:00.000
8,2023-02-22T00:00:00.000,20815,Repair,"{'latitude': '0.0', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '0.0'}",CHEVY CHASE,Closed,General Condition,0,Entire Facility,2023-02-23T00:00:00.000,Violations Corrected,177858,2023-02-22T00:00:00.000,4701 WILLARD AVE,0,609321,2023-02-23T00:00:00.000,26-9(a)(4),Elevator,2023-02-22T00:00:00.000,2023-02-23T00:00:00.000,1518992538,Not Applicable,2023-02-22T00:00:00.000
9,2023-02-22T00:00:00.000,20815,Repair or Replace,"{'latitude': '0.0', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}', 'needs_recoding': False, 'longitude': '0.0'}",CHEVY CHASE,Closed,General Condition,0,Entire Facility,2023-02-23T00:00:00.000,Violations Corrected,177858,2023-02-22T00:00:00.000,4701 WILLARD AVE,0,609320,2023-02-23T00:00:00.000,26-9(a)(4),Boiler,2023-02-22T00:00:00.000,2023-02-23T00:00:00.000,1518992538,Not Applicable,2023-02-22T00:00:00.000
