,fall_term,student_type,student_status,gender,ethnicity,race,attending_germantown,attending_rockville,attending_takoma_park_ss,attend_day_or_evening,mc_program_description,age_group,hs_category,city_in_md,state,zip,county_in_md,mcps_high_school
0,2015,Continuing,Full-Time,Female,Not Hispanic,White,Yes,Yes,No,Day Only,Health Sciences (Pre-Clinical Studies),25 - 29,Foreign Country,Bethesda,MD,20816,Montgomery,
1,2015,Continuing,Part-Time,Male,Not Hispanic,White,No,Yes,No,Evening Only,Building Trades Technology (AA & AAS),21 - 24,MCPS,Olney,MD,20832,Montgomery,Sherwood High School
2,2015,Continuing,Part-Time,Male,Not Hispanic,Black,No,Yes,No,Day & Evening,Computer Gaming & Simulation (AA - All Tracks),20 or Younger,MCPS,Gaithersburg,MD,20877,Montgomery,Quince Orchard Sr High School
3,2015,New,Full-Time,Male,Not Hispanic,Asian,No,Yes,No,Day Only,"Graphic Design (AA, AAS, & AFA - All Tracks)",20 or Younger,MCPS,North Potomac,MD,20878,Montgomery,Thomas Sprigg Wootton High Sch
4,2015,New,Full-Time,Female,Hispanic,White,No,Yes,No,Day & Evening,General Studies (AA - All Tracks),20 or Younger,MCPS,Silver Spring,MD,20906,Montgomery,Montgomery Blair High School
5,2015,Continuing,Full-Time,Female,Hispanic,Hispanic,Yes,No,No,Day Only,General Studies (AA - All Tracks),20 or Younger,MCPS,Germantown,MD,20876,Montgomery,Clarksburg High School
6,2015,Continuing,Full-Time,Female,Hispanic,Hispanic,Yes,No,No,Day Only,General Studies (AA - All Tracks),20 or Younger,MCPS,Germantown,MD,20876,Montgomery,Clarksburg High School
7,2015,New,Full-Time,Male,Hispanic,Black,No,No,Yes,Day Only,Engineering Science (AA & AS - All Tracks),20 or Younger,Mont.County Other,Silver Spring,MD,20903,Montgomery,
8,2015,Continuing,Part-Time,Female,Not Hispanic,Black,No,No,Yes,Day Only,Education / Teacher Education (AA & AAT),21 - 24,Foreign Country,Silver Spring,MD,20901,Montgomery,
9,2015,Continuing,Part-Time,Male,Not Hispanic,White,No,Yes,No,Day Only,Business / International Business (AA),25 - 29,Other State,Rockville,MD,20851,Montgomery,
10,2015,New,Part-Time,Male,Hispanic,White,No,No,Yes,Day Only,General Studies (AA - All Tracks),20 or Younger,MCPS,Silver Spring,MD,20904,Montgomery,Bethesda Chevy Chase High Schl
11,2015,Continuing,Full-Time,Male,Not Hispanic,White,No,Yes,No,Day Only,Computer Science & Technologies (AA - All Tracks),21 - 24,MCPS,Darnestown,MD,20878,Montgomery,Winston Churchill High School
12,2015,Continuing,Part-Time,Male,Not Hispanic,White,No,Yes,No,Day Only,Criminal Justice (AA & AAS),21 - 24,Other State,Olney,MD,20832,Montgomery,
13,2015,Continuing,Full-Time,Female,Not Hispanic,White,No,No,Yes,Day Only,General Studies (AA - All Tracks),20 or Younger,MCPS,Silver Spring,MD,20910,Montgomery,Montgomery Blair High School
14,2015,Continuing,Part-Time,Female,Not Hispanic,White,No,Yes,No,Day Only,General Studies (AA - All Tracks),21 - 24,MCPS,Rockville,MD,20850,Montgomery,Rockville High School
15,2015,Continuing,Full-Time,Male,Hispanic,Hispanic,No,Yes,Yes,Day Only,Business / International Business (AA),21 - 24,MCPS,Silver Spring,MD,20902,Montgomery,Northwood High School
16,2015,Continuing,Full-Time,Female,Not Hispanic,Pacific Islander,Yes,Yes,No,Day Only,Health Sciences (Pre-Clinical Studies),20 or Younger,MCPS,Gaithersburg,MD,20877,Montgomery,Sherwood High School
17,2015,Continuing,Part-Time,Female,Not Hispanic,White,No,No,Yes,No Specific Time[online],Diagnostic Medical Sonography (AA & AAS),21 - 24,Other Maryland,Prince Frederick,MD,20678,Calvert,
18,2015,Continuing,Full-Time,Female,Not Hispanic,White,No,Yes,No,Day Only,General Studies (AA - All Tracks),20 or Younger,MCPS,Derwood,MD,20855,Montgomery,Colonel Zadok Magruder HS
19,2015,Continuing,Full-Time,Female,Not Hispanic,White,No,Yes,No,Day Only,General Studies (AA - All Tracks),20 or Younger,MCPS,Derwood,MD,20855,Montgomery,Colonel Zadok Magruder HS
