,id,district,division,bureau
0,1,3D,3D,PSB
1,2,3D,3D,PSB
2,3,6D,MCSO,
3,4,5D,5D,PSB
4,5,6D,6D,PSB
5,6,6D,6D,PSB
6,7,3D,3D,PSB
7,8,5D,5D,PSB
8,9,3D,3D,PSB
9,10,4D,4D,PSB
10,11,3D,3D,PSB
11,12,2D,2D,PSB
12,13,6D,6D,PSB
13,14,2D,2D,PSB
14,15,6D,6D,PSB
15,16,4D,4D,PSB
16,17,1D,RCPD,
17,18,3D,3D,PSB
18,19,6D,6D,PSB
19,20,6D,,
20,21,5D,5D,PSB
21,22,5D,5D,PSB
22,23,5D,5D,PSB
23,24,6D,6D,PSB
24,25,1D,,
25,26,6D,6D,PSB
26,27,4D,4D,PSB
27,28,6D,MCSO,
28,29,3D,3D,PSB
29,30,2D,2D,PSB
30,31,2D,2D,PSB
31,32,5D,CED,FSB
32,33,6D,6D,PSB
33,34,2D,2D,PSB
34,35,3D,3D,PSB
35,36,3D,3D,PSB
36,37,4D,4D,PSB
37,38,8D,,
38,39,2D,2D,PSB
39,40,1D,,
40,41,4D,4D,PSB
41,42,6D,,
42,43,3D,3D,PSB
43,44,5D,MCSO,
44,45,1D,,
45,46,1D,RPD,
46,47,3D,3D,PSB
47,48,1D,RCP,
48,49,4D,4D,PSB
49,50,1D,,
50,51,4D,4D,PSB
51,52,6D,6D,PSB
52,53,2D,2D,PSB
53,54,4D,4D,PSB
54,55,4D,4D,PSB
55,56,5D,5D,PSB
56,57,6D,6D,PSB
57,58,5D,5D,PSB
58,59,5D,5D,PSB
59,60,5D,5D,PSB
60,61,3D,3D,PSB
61,62,6D,6D,PSB
62,63,6D,6D,PSB
63,64,2D,2D,PSB
64,65,6D,6D,PSB
65,66,4D,4D,PSB
66,67,2D,2D,PSB
67,68,5D,5D,PSB
68,69,3D,3D,PSB
69,70,4D,4D,PSB
70,71,3D,3D,PSB
71,72,4D,4D,PSB
72,73,3D,3D,PSB
73,74,4D,4D,PSB
74,75,3D,3D,PSB
75,76,2D,2D,PSB
76,77,2D,2D,PSB
77,78,4D,4D,PSB
78,79,6D,GPD,
79,80,3D,CED,FSB
80,81,1D,,
81,82,6D,MCSO,
82,83,6D,6D,PSB
83,84,6D,6D,PSB
84,85,4D,4D,PSB
85,86,4D,4D,PSB
86,87,6D,6D,PSB
87,88,5D,5D,PSB
88,89,1D,1D,PSB
89,90,3D,3D,PSB
90,91,6D,,
91,92,6D,GPD,
92,93,3D,3D,PSB
93,94,1D,1D,PSB
94,95,4D,4D,PSB
95,96,4D,4D,PSB
96,97,4D,4D,PSB
97,98,4D,4D,PSB
98,99,4D,4D,PSB
99,100,2D,2D,PSB
100,101,6D,6D,PSB
101,102,5D,5D,PSB
102,103,3D,3D,PSB
103,104,5D,5D,PSB
104,105,3D,3D,PSB
105,106,6D,6D,PSB
106,107,4D,4D,PSB
107,108,1D,MCSO,
108,109,6D,6D,PSB
109,110,4D,4D,PSB
110,111,3D,3D,PSB
111,112,6D,6D,PSB
112,113,5D,5D,PSB
113,114,3D,3D,PSB
114,115,4D,4D,PSB
115,116,5D,5D,PSB
116,117,3D,3D,PSB
117,118,2D,2D,PSB
118,119,3D,3D,PSB
119,120,6D,6D,PSB
120,121,4D,4D,PSB
121,122,6D,6D,PSB
122,123,2D,2D,PSB
123,124,6D,6D,PSB
124,125,4D,4D,PSB
125,126,1D,1D,PSB
126,127,8D,MCSO,
127,128,4D,4D,PSB
128,129,1D,,
129,130,6D,MCSO,
130,131,1D,RPD,
131,132,3D,3D,PSB
132,133,8D,,
133,134,3D,3D,PSB
134,135,1D,MCSO,
135,136,4D,4D,PSB
136,137,1D,RPD,
137,138,5D,5D,PSB
138,139,4D,4D,PSB
139,140,1D,1D,PSB
140,141,3D,3D,PSB
141,142,2D,2D,PSB
142,143,2D,2D,PSB
143,144,3D,3D,PSB
144,145,6D,GPD,
145,146,4D,4D,PSB
146,147,5D,5D,PSB
147,148,6D,GPD,
148,149,6D,6D,PSB
149,150,8D,TP,
150,151,4D,4D,PSB
151,152,6D,6D,PSB
152,153,6D,6D,PSB
153,154,3D,3D,PSB
154,155,3D,3D,PSB
155,156,4D,4D,PSB
156,157,4D,4D,PSB
157,158,6D,6D,PSB
158,159,2D,2D,PSB
159,160,6D,GPD,
160,161,6D,6D,PSB
161,162,5D,MCSO,
162,163,3D,3D,PSB
163,164,1D,MCSO,
164,165,6D,6D,PSB
165,166,3D,3D,PSB
166,167,6D,MCSO,
167,168,4D,4D,PSB
168,169,4D,4D,PSB
169,170,2D,2D,PSB
170,171,1D,,
171,172,3D,3D,PSB
172,173,3D,3D,PSB
173,174,3D,3D,PSB
174,175,2D,2D,PSB
175,176,1D,1D,PSB
176,177,2D,2D,PSB
177,178,3D,3D,PSB
178,179,4D,4D,PSB
179,180,3D,3D,PSB
180,181,4D,MCSO,
181,182,4D,4D,PSB
182,183,5D,5D,PSB
183,184,4D,4D,PSB
184,185,3D,3D,PSB
185,186,3D,3D,PSB
186,187,4D,4D,PSB
187,188,1D,,
188,189,2D,2D,PSB
189,190,4D,CED,FSB
190,191,6D,6D,PSB
191,192,8D,TPPD,
