,battery_park_property_tax,garrett_park_property_tax,brownfield_s_county_tax_credit,new_jobs_tax_credit,design_for_life_tax_credit,laytonsville_property_tax,wssc_connection_fee_chg,ch_ch_section_3_property_tax,day_car_tax_credit,dbu_road,historic_preservation_credit,total_credits,takoma_park_special,brownfields_state_tax_credit,parcel_code,renewable_energy_credit,ch_ch_town_charge_ri,washington_grove_rn,dev_dist_special_tax_wg,dev_dist_special_assessment_wg,friendship_hts_property_tax,art_s_entertainment_credit,gaithersburg_property_tax,total,special_area_homestead_credit,washington_grove_serv_chg,green_building_tax_credit,gaithersburg_charge_rm,wssc_front_foot_benefit_chg,white_flint_sp_tax,water_qual_protect_chg_nr,north_ch_ch_property_tax,brookeville_property_tax,rockville_property_tax_credit,somerset_property_tax,county_homeowner_s_credit,martins_addition_charge_rk,drummond_property_tax,county_homestead_credit,water_quality_protect_chg_sfr,dev_dist_special_assessment_kv,business_incubator_tax_credit,municipal_homestead_credit,state_homestead_credit,rockville_property_tax,enterprise_zone_tax_credit,solid_waste_charge,water_quality_protect_chg_ex,glen_echo_property_tax,water_quality_protect_chg_ag,poolesville_property_tax,ch_ch_section_5_charge_rj,clean_lien_demolition,gaithersburg_stormwater_fee,conservation_energy_credit,partial_parking_lot_credit,water_qual_protect_chg_rsfa,fallen_officer_rescue_credit,ch_ch_village_charge_rg,municipal_homeowners_credit,dev_dist_special_tax_kv,ch_ch_village_property_tax,water_qual_protect_chg_mfr,ch_ch_section_5_property_tax,barnesville_property_tax,fire_sprinkler_tax_credit,water_qual_protect_chg_rsfd,excess_homeowner_credit,washington_grove_property_tax,swimclub,municipal_swimclub,ch_ch_view_property_tax,county_property_tax,rockville_stormwater_mgmt_fee,residence,kensington_property_tax,state_homeowner_s_credit,bay_restoration_fund,bill_total,rockville_front_foot_chg,religious_organizations_credit,ch_ch_town_property_tax,takoma_park_property_tax,property_address,water_quality_protect_chg_gov,full_parking_lot_credit,ch_ch_section_3_charge_rh,conservation_land_tax_credit,county_property_tax_credit,enterprise_zone_municipal,garrett_park_charge_rl,water_quality_protect_chg_np,location_1,martins_addition_property_tax,oakmont_property_tax,state_property_tax,zip_code,:@computed_region_vu5j_pcmz,:@computed_region_d7bw_bq6x,:@computed_region_kbsp_ykn9,:@computed_region_tx5f_5em3,:@computed_region_rbt8_3x7n,:@computed_region_6ryf_isx3
0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15557,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,18.40,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,16.61,0.00,NOT A PRINCIPAL RESIDENCE,0.00,0.00,0.00,18.40,0.00,0.00,0.00,0.00,ETCHISON DR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"{'human_address': '{""address"": ""ETCHISON DR"", ""city"": """", ""state"": ""MD"", ""zip"": """"}', 'needs_recoding': True}",0.00,0.00,1.79,,,,,,,
1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49951,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6295.42,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5682.41,0.00,NOT A PRINCIPAL RESIDENCE,0.00,0.00,0.00,6295.42,0.00,0.00,0.00,0.00,TRAVILAH RD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"{'human_address': '{""address"": ""TRAVILAH RD"", ""city"": """", ""state"": ""MD"", ""zip"": """"}', 'needs_recoding': True}",0.00,0.00,613.01,,,,,,,
2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,53612,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NOT A PRINCIPAL RESIDENCE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,FALLS RD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"{'human_address': '{""address"": ""FALLS RD"", ""city"": """", ""state"": ""MD"", ""zip"": """"}', 'needs_recoding': True}",0.00,0.00,0.00,,,,,,,
3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,83755,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NOT A PRINCIPAL RESIDENCE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LUX LN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"{'human_address': '{""address"": ""LUX LN"", ""city"": """", ""state"": ""MD"", ""zip"": """"}', 'needs_recoding': True}",0.00,0.00,0.00,,,,,,,
4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85550,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NOT A PRINCIPAL RESIDENCE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,WINDERMERE CT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"{'human_address': '{""address"": ""WINDERMERE CT"", ""city"": """", ""state"": ""MD"", ""zip"": """"}', 'needs_recoding': True}",0.00,0.00,0.00,,,,,,,
5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,87387,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NOT A PRINCIPAL RESIDENCE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DANVILLE CT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"{'human_address': '{""address"": ""DANVILLE CT"", ""city"": """", ""state"": ""MD"", ""zip"": """"}', 'needs_recoding': True}",0.00,0.00,0.00,,,,,,,
6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,117543,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NOT A PRINCIPAL RESIDENCE,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,REDLAND RD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"{'human_address': '{""address"": ""REDLAND RD"", ""city"": """", ""state"": ""MD"", ""zip"": """"}', 'needs_recoding': True}",0.00,0.00,0.00,,,,,,,
7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,137222,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NOT A PRINCIPAL RESIDENCE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ORCHARD BROOK DR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"{'human_address': '{""address"": ""ORCHARD BROOK DR"", ""city"": """", ""state"": ""MD"", ""zip"": """"}', 'needs_recoding': True}",0.00,0.00,0.00,,,,,,,
8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,142640,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NOT A PRINCIPAL RESIDENCE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,BURDETTE RD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"{'human_address': '{""address"": ""BURDETTE RD"", ""city"": """", ""state"": ""MD"", ""zip"": """"}', 'needs_recoding': True}",0.00,0.00,0.00,,,,,,,
9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,145381,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,NOT A PRINCIPAL RESIDENCE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,HURLEY AVE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"{'human_address': '{""address"": ""HURLEY AVE"", ""city"": """", ""state"": ""MD"", ""zip"": """"}', 'needs_recoding': True}",0.00,0.00,0.00,,,,,,,
