,school_name,zip_code,location,city,:@computed_region_vu5j_pcmz,address,:@computed_region_d7bw_bq6x,:@computed_region_kbsp_ykn9,latitude,url,:@computed_region_tx5f_5em3,category,longitude,:@computed_region_rbt8_3x7n,phone
0,Bethesda ES,20814,"{'latitude': '38.9864595389', 'human_address': '{""address"": ""7600 Arlington Rd"", ""city"": ""Bethesda"", ""state"": ""MD"", ""zip"": ""20814""}', 'needs_recoding': False, 'longitude': '-77.0998645245'}",Bethesda,1,7600 Arlington Rd,111,12,38.9864595389,http://www.montgomeryschoolsmd.org/schools/bethesdaes,1,ELEMENTARY SCHOOLS,-77.0998645245,1,301-657-4979
1,Garrett Park ES (at Grosvenor Center),20814,"{'latitude': '39.0235338133', 'human_address': '{""address"": ""5701 Grosvenor La"", ""city"": ""Bethesda"", ""state"": ""MD"", ""zip"": ""20814""}', 'needs_recoding': False, 'longitude': '-77.1141310594'}",Bethesda,1,5701 Grosvenor La,111,19,39.0235338133,http://www.montgomeryschoolsmd.org/schools/garrettparkes,1,ELEMENTARY SCHOOLS,-77.1141310594,1,301-929-2170
2,Somerset ES,20815,"{'latitude': '38.9691922144', 'human_address': '{""address"": ""5811 Warwick Pl"", ""city"": ""Chevy Chase"", ""state"": ""MD"", ""zip"": ""20815""}', 'needs_recoding': False, 'longitude': '-77.092408162'}",Chevy Chase,1,5811 Warwick Pl,110,5,38.9691922144,http://www.montgomeryschoolsmd.org/schools/somersetes,1,ELEMENTARY SCHOOLS,-77.092408162,7,301-657-4985
3,Chevy Chase ES,20815,"{'latitude': '38.9785671729', 'human_address': '{""address"": ""4015 Rosemary St"", ""city"": ""Chevy Chase"", ""state"": ""MD"", ""zip"": ""20815""}', 'needs_recoding': False, 'longitude': '-77.0802384598'}",Chevy Chase,1,4015 Rosemary St,110,5,38.9785671729,http://www.montgomeryschoolsmd.org/schools/chevychasees,1,ELEMENTARY SCHOOLS,-77.0802384598,20,301-657-4994
4,Rock Creek Forest ES,20815,"{'latitude': '38.9922962885', 'human_address': '{""address"": ""8330 Grubb Rd"", ""city"": ""Chevy Chase"", ""state"": ""MD"", ""zip"": ""20815""}', 'needs_recoding': False, 'longitude': '-77.0512978748'}",Chevy Chase,1,8330 Grubb Rd,110,5,38.9922962885,http://www.montgomeryschoolsmd.org/schools/rcforestes,1,ELEMENTARY SCHOOLS,-77.0512978748,1,301-650-6410
5,North Chevy Chase ES,20815,"{'latitude': '38.9987705251', 'human_address': '{""address"": ""3700 Jones Bridge Rd"", ""city"": ""Chevy Chase"", ""state"": ""MD"", ""zip"": ""20815""}', 'needs_recoding': False, 'longitude': '-77.073432352'}",Chevy Chase,1,3700 Jones Bridge Rd,110,5,38.9987705251,http://www.montgomeryschoolsmd.org/schools/nchevychasees,1,ELEMENTARY SCHOOLS,-77.073432352,1,301-657-4950
6,Westbrook ES,20816,"{'latitude': '38.9584710865', 'human_address': '{""address"": ""5110 Allan Ter"", ""city"": ""Bethesda"", ""state"": ""MD"", ""zip"": ""20816""}', 'needs_recoding': False, 'longitude': '-77.1028193264'}",Bethesda,1,5110 Allan Ter,107,12,38.9584710865,http://www.montgomeryschoolsmd.org/schools/westbrookes,1,ELEMENTARY SCHOOLS,-77.1028193264,1,301-320-6506
7,Wood Acres ES,20816,"{'latitude': '38.9675865435', 'human_address': '{""address"": ""5800 Cromwell Dr"", ""city"": ""Bethesda"", ""state"": ""MD"", ""zip"": ""20816""}', 'needs_recoding': False, 'longitude': '-77.1186718959'}",Bethesda,1,5800 Cromwell Dr,107,12,38.9675865435,http://www.montgomeryschoolsmd.org/schools/woodacreses,1,ELEMENTARY SCHOOLS,-77.1186718959,1,301-320-6502
8,Seven Locks ES (at Radnor Center),20817,"{'latitude': '38.9790958064', 'human_address': '{""address"": ""7000 Radnor Rd"", ""city"": ""Bethesda"", ""state"": ""MD"", ""zip"": ""20817""}', 'needs_recoding': False, 'longitude': '-77.114718632'}",Bethesda,1,7000 Radnor Rd,103,12,38.9790958064,http://www.montgomeryschoolsmd.org/schools/sevenlockses,1,ELEMENTARY SCHOOLS,-77.114718632,1,301-469-1038
9,Seven Locks ES (Construction),20817,"{'latitude': '39.0123627913', 'human_address': '{""address"": ""9500 Seven Locks Rd"", ""city"": ""Bethesda"", ""state"": ""MD"", ""zip"": ""20817""}', 'needs_recoding': False, 'longitude': '-77.16113969'}",Bethesda,1,9500 Seven Locks Rd,103,12,39.0123627913,http://www.montgomeryschoolsmd.org/schools/sevenlockses,1,ELEMENTARY SCHOOLS,-77.16113969,1,301-469-1038
10,Bannockburn ES,20817,"{'latitude': '38.974375007', 'human_address': '{""address"": ""6520 Dalroy La"", ""city"": ""Bethesda"", ""state"": ""MD"", ""zip"": ""20817""}', 'needs_recoding': False, 'longitude': '-77.1383339932'}",Bethesda,1,6520 Dalroy La,103,12,38.974375007,http://www.montgomeryschoolsmd.org/schools/bannockburnes,1,ELEMENTARY SCHOOLS,-77.1383339932,1,301-320-6555
