,school_name,zip_code,location,city,:@computed_region_vu5j_pcmz,address,:@computed_region_d7bw_bq6x,:@computed_region_kbsp_ykn9,latitude,url,:@computed_region_tx5f_5em3,category,longitude,:@computed_region_rbt8_3x7n,phone
0,Walter Johnson HS,20814,"{'latitude': '39.0253918855', 'human_address': '{""address"": ""6400 Rock Spring Dr"", ""city"": ""Bethesda"", ""state"": ""MD"", ""zip"": ""20814""}', 'needs_recoding': False, 'longitude': '-77.1301017226'}",Bethesda,1,6400 Rock Spring Dr,103,19,39.0253918855,http://www.montgomeryschoolsmd.org/schools/wjhs,1,HIGH SCHOOLS,-77.1301017226,1,301-803-7100
1,Bethesda-Chevy Chase HS,20814,"{'latitude': '38.9868264765', 'human_address': '{""address"": ""4301 East West Hwy"", ""city"": ""Bethesda"", ""state"": ""MD"", ""zip"": ""20814""}', 'needs_recoding': False, 'longitude': '-77.0889699717'}",Bethesda,1,4301 East West Hwy,111,12,38.9868264765,http://www.montgomeryschoolsmd.org/schools/bcchs,1,HIGH SCHOOLS,-77.0889699717,1,240-497-6300
2,Walt Whitman HS,20817,"{'latitude': '38.9816307564', 'human_address': '{""address"": ""7100 Whittier Blv"", ""city"": ""Bethesda"", ""state"": ""MD"", ""zip"": ""20817""}', 'needs_recoding': False, 'longitude': '-77.1276727865'}",Bethesda,1,7100 Whittier Blv,103,12,38.9816307564,http://www.montgomeryschoolsmd.org/schools/whitmanhs,1,HIGH SCHOOLS,-77.1276727865,1,301-320-6600
3,Poolesville HS,20837,"{'latitude': '39.1431033716', 'human_address': '{""address"": ""17501 Willard Rd"", ""city"": ""Poolesville"", ""state"": ""MD"", ""zip"": ""20837""}', 'needs_recoding': False, 'longitude': '-77.4187801451'}",Poolesville,1,17501 Willard Rd,97,34,39.1431033716,http://www.montgomeryschoolsmd.org/schools/poolesvillehs,1,HIGH SCHOOLS,-77.4187801451,16,301-972-7900
4,Thomas S Wootton HS,20850,"{'latitude': '39.0765821359', 'human_address': '{""address"": ""2100 Wootton Pkw"", ""city"": ""Rockville"", ""state"": ""MD"", ""zip"": ""20850""}', 'needs_recoding': False, 'longitude': '-77.1831974358'}",Rockville,3,2100 Wootton Pkw,71,25,39.0765821359,http://www.montgomeryschoolsmd.org/schools/woottonhs,3,HIGH SCHOOLS,-77.1831974358,12,301-279-8550
5,Rockville HS,20851,"{'latitude': '39.0863478113', 'human_address': '{""address"": ""2100 Baltimore Rd"", ""city"": ""Rockville"", ""state"": ""MD"", ""zip"": ""20851""}', 'needs_recoding': False, 'longitude': '-77.1182723989'}",Rockville,3,2100 Baltimore Rd,68,25,39.0863478113,http://www.montgomeryschoolsmd.org/schools/rockvillehs,3,HIGH SCHOOLS,-77.1182723989,12,301-517-8105
6,Richard Montgomery HS,20852,"{'latitude': '39.0772920776', 'human_address': '{""address"": ""250 Richard Montgomery Dr"", ""city"": ""Rockville"", ""state"": ""MD"", ""zip"": ""20852""}', 'needs_recoding': False, 'longitude': '-77.1457297834'}",Rockville,3,250 Richard Montgomery Dr,60,25,39.0772920776,http://www.montgomeryschoolsmd.org/schools/rmhs,3,HIGH SCHOOLS,-77.1457297834,12,301-610-8000
7,Winston Churchill HS,20854,"{'latitude': '39.0443047898', 'human_address': '{""address"": ""11300 Gainsborough Rd"", ""city"": ""Potomac"", ""state"": ""MD"", ""zip"": ""20854""}', 'needs_recoding': False, 'longitude': '-77.1731281364'}",Potomac,1,11300 Gainsborough Rd,53,20,39.0443047898,http://www.montgomeryschoolsmd.org/schools/churchillhs,1,HIGH SCHOOLS,-77.1731281364,1,301-469-1200
8,Col Zadok Magruder HS,20855,"{'latitude': '39.1313109818', 'human_address': '{""address"": ""5939 Muncaster Mill Rd"", ""city"": ""Rockville"", ""state"": ""MD"", ""zip"": ""20855""}', 'needs_recoding': False, 'longitude': '-77.1188059149'}",Rockville,4,5939 Muncaster Mill Rd,51,55,39.1313109818,http://www.montgomeryschoolsmd.org/schools/magruderhs,4,HIGH SCHOOLS,-77.1188059149,1,301-840-4600
9,Sherwood HS,20860,"{'latitude': '39.148342372', 'human_address': '{""address"": ""300 Olney Sandy Spring Rd"", ""city"": ""Sandy Spring"", ""state"": ""MD"", ""zip"": ""20860""}', 'needs_recoding': False, 'longitude': '-77.018771801'}",Sandy Spring,4,300 Olney Sandy Spring Rd,49,35,39.148342372,http://www.montgomeryschoolsmd.org/schools/sherwoodhs,4,HIGH SCHOOLS,-77.018771801,1,301-924-3200
10,Paint Branch HS,20866,"{'latitude': '39.0886791828', 'human_address': '{""address"": ""14121 Old Columbia Pik"", ""city"": ""Burtonsville"", ""state"": ""MD"", ""zip"": ""20866""}', 'needs_recoding': False, 'longitude': '-76.9471015401'}",Burtonsville,5,14121 Old Columbia Pik,47,53,39.0886791828,http://www.montgomeryschoolsmd.org/schools/paintbranchhs,5,HIGH SCHOOLS,-76.9471015401,1,301-989-5600
11,Clarksburg HS,20871,"{'latitude': '39.225501825', 'human_address': '{""address"": ""22500 Wims Rd"", ""city"": ""Clarksburg"", ""state"": ""MD"", ""zip"": ""20871""}', 'needs_recoding': False, 'longitude': '-77.2655866221'}",Clarksburg,2,22500 Wims Rd,44,50,39.225501825,http://www.montgomeryschoolsmd.org/schools/clarksburghs,2,HIGH SCHOOLS,-77.2655866221,1,301-444-3000
12,Damascus HS,20872,"{'latitude': '39.2824956463', 'human_address': '{""address"": ""25921 Ridge Rd"", ""city"": ""Damascus"", ""state"": ""MD"", ""zip"": ""20872""}', 'needs_recoding': False, 'longitude': '-77.2100198748'}",Damascus,2,25921 Ridge Rd,42,51,39.2824956463,http://www.montgomeryschoolsmd.org/schools/damascushs,2,HIGH SCHOOLS,-77.2100198748,1,301-253-7030
13,Northwest HS,20874,"{'latitude': '39.1515925975', 'human_address': '{""address"": ""13501 Richter Farm Rd"", ""city"": ""Germantown"", ""state"": ""MD"", ""zip"": ""20874""}', 'needs_recoding': False, 'longitude': '-77.2793294162'}",Germantown,2,13501 Richter Farm Rd,39,39,39.1515925975,http://www.montgomeryschoolsmd.org/schools/northwesths,2,HIGH SCHOOLS,-77.2793294162,1,301-601-4660
14,Seneca Valley HS,20874,"{'latitude': '39.1750937217', 'human_address': '{""address"": ""19401 Crystal Rock Dr"", ""city"": ""Germantown"", ""state"": ""MD"", ""zip"": ""20874""}', 'needs_recoding': False, 'longitude': '-77.2643319443'}",Germantown,2,19401 Crystal Rock Dr,39,39,39.1750937217,http://www.montgomeryschoolsmd.org/schools/senecavalleyhs,2,HIGH SCHOOLS,-77.2643319443,1,301-353-8000
15,Gaithersburg HS,20877,"{'latitude': '39.1348394458', 'human_address': '{""address"": ""314 S Frederick Ave"", ""city"": ""Gaithersburg"", ""state"": ""MD"", ""zip"": ""20877""}', 'needs_recoding': False, 'longitude': '-77.1954776183'}",Gaithersburg,3,314 S Frederick Ave,35,36,39.1348394458,http://www.montgomeryschoolsmd.org/schools/gaithsbghs,3,HIGH SCHOOLS,-77.1954776183,21,301-840-4700
16,Quince Orchard HS,20878,"{'latitude': '39.1159327009', 'human_address': '{""address"": ""15800 Quince Orchard Rd"", ""city"": ""Gaithersburg"", ""state"": ""MD"", ""zip"": ""20878""}', 'needs_recoding': False, 'longitude': '-77.254239085'}",Gaithersburg,2,15800 Quince Orchard Rd,33,24,39.1159327009,http://www.montgomeryschoolsmd.org/schools/qohs,2,HIGH SCHOOLS,-77.254239085,1,301-840-4686
17,Watkins Mill HS,20879,"{'latitude': '39.183966701', 'human_address': '{""address"": ""10301 Apple Ridge Rd"", ""city"": ""Gaithersburg"", ""state"": ""MD"", ""zip"": ""20879""}', 'needs_recoding': False, 'longitude': '-77.215836205'}",Gaithersburg,2,10301 Apple Ridge Rd,28,38,39.183966701,http://www.montgomeryschoolsmd.org/schools/watkinsmillhs,2,HIGH SCHOOLS,-77.215836205,1,301-840-3959
18,Albert Einstein HS,20895,"{'latitude': '39.0396158925', 'human_address': '{""address"": ""11135 Newport Mill Rd"", ""city"": ""Kensington"", ""state"": ""MD"", ""zip"": ""20895""}', 'needs_recoding': False, 'longitude': '-77.0670360163'}",Kensington,4,11135 Newport Mill Rd,25,15,39.0396158925,http://www.montgomeryschoolsmd.org/schools/einsteinhs,4,HIGH SCHOOLS,-77.0670360163,1,301-929-2200
19,Northwood HS,20901,"{'latitude': '39.0356942671', 'human_address': '{""address"": ""919 University Blv W"", ""city"": ""Silver Spring"", ""state"": ""MD"", ""zip"": ""20901""}', 'needs_recoding': False, 'longitude': '-77.0224839838'}",Silver Spring,5,919 University Blv W,21,17,39.0356942671,http://www.montgomeryschoolsmd.org/schools/northwoodhs,5,HIGH SCHOOLS,-77.0224839838,1,301-649-8088
20,Montgomery Blair HS,20901,"{'latitude': '39.0182729296', 'human_address': '{""address"": ""51 E University Blv"", ""city"": ""Silver Spring"", ""state"": ""MD"", ""zip"": ""20901""}', 'needs_recoding': False, 'longitude': '-77.0124342871'}",Silver Spring,5,51 E University Blv,21,13,39.0182729296,http://www.mbhs.edu,5,HIGH SCHOOLS,-77.0124342871,1,301-649-2800
21,John F Kennedy HS,20902,"{'latitude': '39.0657502712', 'human_address': '{""address"": ""1901 Randolph Rd"", ""city"": ""Silver Spring"", ""state"": ""MD"", ""zip"": ""20902""}', 'needs_recoding': False, 'longitude': '-77.039027838'}",Silver Spring,4,1901 Randolph Rd,6,23,39.0657502712,http://www.montgomeryschoolsmd.org/schools/kennedyhs,4,HIGH SCHOOLS,-77.039027838,1,301-929-2100
22,Springbrook HS,20904,"{'latitude': '39.0578019375', 'human_address': '{""address"": ""201 Valley Brook Dr"", ""city"": ""Silver Spring"", ""state"": ""MD"", ""zip"": ""20904""}', 'needs_recoding': False, 'longitude': '-77.0056814998'}",Silver Spring,4,201 Valley Brook Dr,12,26,39.0578019375,http://www.montgomeryschoolsmd.org/schools/springbrookhs,4,HIGH SCHOOLS,-77.0056814998,1,301-989-5700
23,James Hubert Blake HS,20905,"{'latitude': '39.1133304559', 'human_address': '{""address"": ""300 Norwood Rd"", ""city"": ""Silver Spring"", ""state"": ""MD"", ""zip"": ""20905""}', 'needs_recoding': False, 'longitude': '-77.0175061321'}",Silver Spring,4,300 Norwood Rd,8,26,39.1133304559,http://www.montgomeryschoolsmd.org/schools/blakehs,4,HIGH SCHOOLS,-77.0175061321,1,301-879-1300
24,Wheaton HS,20906,"{'latitude': '39.0613378725', 'human_address': '{""address"": ""12601 Dalewood Dr"", ""city"": ""Silver Spring"", ""state"": ""MD"", ""zip"": ""20906""}', 'needs_recoding': False, 'longitude': '-77.0666690813'}",Silver Spring,4,12601 Dalewood Dr,6,23,39.0613378725,http://www.montgomeryschoolsmd.org/schools/wheatonhs,4,HIGH SCHOOLS,-77.0666690813,1,301-929-2050
