,latitude,longitude,postal_code,formatted_address
0,40.7142205,-73.9612903,11211,"277 Bedford Ave, Brooklyn, NY 11211, USA"
1,40.7142015,-73.96130769999999,4203,"279 Bedford Ave, Brooklyn, NY 11211, USA"
2,40.7142205,-73.9612903,11211,"277 Bedford Ave, Brooklyn, NY 11211, USA"
3,40.7142045,-73.9614845,11211,"291-275 Bedford Ave, Brooklyn, NY 11211, USA"
4,40.714224,-73.961452,United States,"P27Q+MC New York, NY, USA"
5,40.7043921,-73.9565551,United States,"South Williamsburg, Brooklyn, NY, USA"
6,40.7093358,-73.9565551,United States,"Brooklyn, NY 11211, USA"
7,40.7081156,-73.9570696,United States,"Williamsburg, Brooklyn, NY, USA"
8,40.6528762,-73.95949399999999,United States,"Kings County, Brooklyn, NY, USA"
9,40.6781784,-73.9441579,United States,"Brooklyn, NY, USA"
10,40.7127753,-74.0059728,United States,"New York, NY, USA"
11,43.2994285,-74.21793260000001,United States,"New York, USA"
12,37.09024,-95.712891,United States,United States
